# Vayyar & Minicircuits VNAKit
# Frequency range: [2000 - 2700 (mhz)], 1001 measurements.
# RBW: 2(khz); OutputPower: -10(dbm); transmitting from trPort 3

FREQUENCY(MHZ),1_I,1_Q,2_I,2_Q,3_I,3_Q,4_I,4_Q,5_I,5_Q,6_I,6_Q
2000,0.00206168,-0.000772317,0.0487195,0.00385794,0,0,-0.0506786,0.010043,0.00070147,-0.000843168,0.0408784,0.0712801
2000.7,0.00205844,-0.000880708,0.0487127,0.00354373,0,0,-0.0504181,0.0111068,0.000657631,-0.000864832,0.0427806,0.0700562
2001.4,0.00201059,-0.00101149,0.0488394,0.00310189,0,0,-0.0502511,0.0122875,0.000629441,-0.000882727,0.0449171,0.0689005
2002.1,0.0019956,-0.00114898,0.0489589,0.00271994,0,0,-0.0500172,0.0134701,0.00057586,-0.0009527,0.046981,0.0676835
2002.8,0.00196272,-0.00121293,0.0490595,0.00224225,0,0,-0.0497689,0.0146511,0.000530393,-0.000938426,0.0490379,0.0663543
2003.5,0.00192314,-0.00135142,0.0491184,0.00185182,0,0,-0.0494809,0.0157857,0.000512228,-0.000980103,0.0509691,0.0649536
2004.2,0.0018713,-0.0014409,0.049195,0.00139624,0,0,-0.0491593,0.016969,0.000468405,-0.000997522,0.0529332,0.0634823
2004.9,0.00181556,-0.00156557,0.0493039,0.000976325,0,0,-0.0488396,0.0180997,0.000458134,-0.00103755,0.0548431,0.0619917
2005.6,0.00176508,-0.00168075,0.0493413,0.000541625,0,0,-0.0484039,0.0192966,0.000389266,-0.00102928,0.0566927,0.0604023
2006.3,0.00170741,-0.00177262,0.0494371,0.000120235,0,0,-0.0480493,0.0204226,0.00034756,-0.00105909,0.0585304,0.0588201
2007,0.00164587,-0.00187407,0.0494671,-0.000324361,0,0,-0.047567,0.0215356,0.000327763,-0.00107499,0.0602496,0.0570743
2007.7,0.00157775,-0.00199867,0.0495577,-0.000742702,0,0,-0.0471528,0.0226436,0.000287545,-0.00106527,0.0619918,0.0553733
2008.4,0.00149686,-0.00208559,0.0495738,-0.00119337,0,0,-0.0466466,0.0237704,0.000231648,-0.00108434,0.0636455,0.0535707
2009.1,0.00142345,-0.00218177,0.0496251,-0.00162129,0,0,-0.0461302,0.0248819,0.000173411,-0.00111189,0.0652596,0.0517378
2009.8,0.00132921,-0.00227354,0.0496287,-0.00206772,0,0,-0.0455646,0.0259293,0.000133803,-0.00109108,0.066798,0.04982
2010.5,0.00121787,-0.00237882,0.0497532,-0.00251779,0,0,-0.0450887,0.0270769,9.00085e-05,-0.00111151,0.0683934,0.0479636
2011.2,0.00113823,-0.0024589,0.0497431,-0.00296702,0,0,-0.0444009,0.0281135,3.79235e-05,-0.00109726,0.0697743,0.0458878
2011.9,0.00105002,-0.00253741,0.0497702,-0.00338091,0,0,-0.0437974,0.0291505,-2.03758e-05,-0.00112562,0.0711699,0.0439061
2012.6,0.000948492,-0.00262748,0.0498332,-0.00382491,0,0,-0.043189,0.0302047,-6.35144e-05,-0.00111997,0.0725466,0.041842
2013.3,0.000816115,-0.00268833,0.0498065,-0.00428593,0,0,-0.0425098,0.031218,-0.000107608,-0.00110792,0.0737788,0.0397032
2014,0.0007095,-0.00276355,0.0498548,-0.00471746,0,0,-0.0418401,0.0322505,-0.000155171,-0.00109715,0.0749792,0.0375485
2014.7,0.000590614,-0.00284288,0.0499263,-0.00516523,0,0,-0.0411489,0.033266,-0.000209125,-0.00110858,0.0762078,0.0354342
