# Vayyar & Minicircuits VNAKit
# Frequency range: [2000 - 2700 (mhz)], 1001 measurements.
# RBW: 2(khz); OutputPower: 0(dbm); transmitting from trPort 3

FREQUENCY(MHZ),1_I,1_Q,2_I,2_Q,3_I,3_Q,4_I,4_Q,5_I,5_Q,6_I,6_Q
2000,0.00534703,-0.00248735,0.137548,0.00100613,0,0,-0.144947,0.0398913,0.00187666,-0.00269075,0.0612465,0.090551
2000.7,0.00531005,-0.00278839,0.137575,-0.000132988,0,0,-0.144053,0.0431404,0.00175271,-0.00275292,0.0638172,0.0887559
2001.4,0.00521431,-0.00309115,0.137737,-0.00135528,0,0,-0.143164,0.0465569,0.0016595,-0.00284668,0.0664027,0.0868454
2002.1,0.00511389,-0.00338071,0.137857,-0.00253885,0,0,-0.142166,0.0498608,0.00155296,-0.00291264,0.0689134,0.0848696
2002.8,0.0050107,-0.00369235,0.138089,-0.00382548,0,0,-0.141228,0.053301,0.0014041,-0.00295634,0.0714119,0.0827914
2003.5,0.00489473,-0.00397745,0.13829,-0.00502653,0,0,-0.140211,0.0566434,0.00128374,-0.00303098,0.0738082,0.0806679
2004.2,0.00474707,-0.00427463,0.138216,-0.00624316,0,0,-0.138825,0.0598353,0.0011586,-0.00307656,0.0761692,0.0784392
2004.9,0.00458185,-0.00454221,0.138367,-0.00745172,0,0,-0.137583,0.0631646,0.00103205,-0.00313032,0.0784371,0.0761876
2005.6,0.0044183,-0.00484592,0.138521,-0.00874038,0,0,-0.136289,0.0665097,0.00088809,-0.00317179,0.0806569,0.0738409
2006.3,0.00425788,-0.00513278,0.13853,-0.00990349,0,0,-0.134798,0.0695942,0.000778344,-0.00320208,0.0827767,0.0714603
2007,0.00404101,-0.00537862,0.138622,-0.0112195,0,0,-0.133288,0.0728821,0.000633715,-0.00324103,0.0848803,0.0689545
2007.7,0.00382697,-0.00564843,0.138875,-0.0124416,0,0,-0.131889,0.0760811,0.000511013,-0.00329638,0.0868616,0.066462
2008.4,0.00362357,-0.00591548,0.138777,-0.0136807,0,0,-0.130057,0.0791812,0.000366412,-0.00327186,0.0888005,0.0638511
2009.1,0.00338473,-0.00618224,0.138821,-0.0148929,0,0,-0.128338,0.0821913,0.000239003,-0.00331719,0.0906233,0.0612327
2009.8,0.00312929,-0.00643444,0.13888,-0.0162488,0,0,-0.126522,0.0853594,0.000110381,-0.00332941,0.0924291,0.0584874
2010.5,0.00289361,-0.00668076,0.138951,-0.0174282,0,0,-0.124742,0.0883584,-5.55088e-05,-0.00331675,0.0940948,0.0557859
2011.2,0.00259502,-0.00690136,0.138929,-0.0187362,0,0,-0.12275,0.0913566,-0.000169686,-0.00332722,0.0957164,0.0529676
2011.9,0.00228505,-0.00711561,0.138924,-0.0199199,0,0,-0.120705,0.0942206,-0.000330043,-0.00329722,0.0972228,0.0501557
2012.6,0.00200405,-0.00736237,0.13896,-0.0211986,0,0,-0.118657,0.0971363,-0.000459449,-0.00330103,0.0986661,0.0472671
2013.3,0.00171011,-0.00755039,0.138872,-0.0224338,0,0,-0.116428,0.0999131,-0.000599882,-0.00328483,0.100019,0.0443437
2014,0.00138532,-0.00775316,0.138808,-0.0236672,0,0,-0.11417,0.102643,-0.000746508,-0.00322129,0.101282,0.0413874
2014.7,0.00103925,-0.00796706,0.138899,-0.0249945,0,0,-0.112012,0.105528,-0.000892346,-0.00322981,0.102473,0.0383798
2015.4,0.000682741,-0.00811976,0.138901,-0.0262843,0,0,-0.109688,0.10832,-0.00099395,-0.00319275,0.103576,0.0353289
2016.1,0.000321483,-0.00826378,0.138811,-0.0275472,0,0,-0.107244,0.110937,-0.00115112,-0.00316669,0.104569,0.0322733
2016.8,-5.14336e-05,-0.00835636,0.138579,-0.028807,0,0,-0.104606,0.113345,-0.0012841,-0.00310151,0.105486,0.0291541
2017.5,-0.000421107,-0.00847728,0.138498,-0.0300822,0,0,-0.101997,0.115936,-0.00142311,-0.00305598,0.106317,0.0260082
2018.2,-0.000821444,-0.00860544,0.138349,-0.0313171,0,0,-0.099389,0.118306,-0.00157969,-0.00297326,0.107033,0.0228908
2018.9,-0.00121036,-0.00866894,0.138166,-0.0325956,0,0,-0.0966817,0.120648,-0.00169063,-0.00292991,0.107672,0.0197119
2019.6,-0.00162454,-0.00876441,0.138072,-0.0338559,0,0,-0.0939548,0.123032,-0.0018014,-0.00284687,0.108217,0.0165286
2020.3,-0.00203155,-0.00879605,0.137907,-0.0351498,0,0,-0.091166,0.125327,-0.00193796,-0.00278198,0.108662,0.0133155
2021,-0.00244386,-0.00887177,0.137779,-0.0364136,0,0,-0.0883252,0.127555,-0.0020468,-0.00272484,0.109018,0.0101217
2021.7,-0.00289198,-0.00886051,0.137607,-0.0377276,0,0,-0.0854257,0.129733,-0.00217271,-0.0026396,0.109277,0.00686069
2022.4,-0.00329772,-0.00887445,0.137349,-0.0389268,0,0,-0.0824488,0.131685,-0.0022678,-0.00253918,0.109437,0.00365745
2023.1,-0.00375323,-0.00887205,0.137175,-0.0402386,0,0,-0.0794283,0.133738,-0.0023938,-0.00243604,0.109511,0.000425922
2023.8,-0.00416427,-0.00882518,0.136938,-0.0414367,0,0,-0.0764096,0.135602,-0.00252164,-0.0023398,0.109482,-0.00276744
2024.5,-0.0046065,-0.00875003,0.136664,-0.0427578,0,0,-0.0732363,0.137492,-0.00260712,-0.00225367,0.109358,-0.00604177
2025.2,-0.00505375,-0.00866821,0.136545,-0.0439973,0,0,-0.0701743,0.139343,-0.00270536,-0.0021342,0.109144,-0.00923881
2025.9,-0.0054698,-0.00855675,0.136265,-0.0453095,0,0,-0.0669257,0.141075,-0.0027998,-0.00200004,0.108828,-0.0124756
2026.6,-0.00590526,-0.00843176,0.136055,-0.0465784,0,0,-0.0637752,0.142769,-0.002906,-0.00190534,0.108429,-0.0156857
2027.3,-0.00633097,-0.00827131,0.135613,-0.0477845,0,0,-0.0604093,0.144183,-0.00297844,-0.0017725,0.10792,-0.0188658
